DATA,LAHTI,PORVO,MUSTI,FLOW
1/11/2002,0,0,0,2.29
1/12/2002,0,0,0,2.29
1/13/2002,2.1,3,2.6,2.29
1/14/2002,0.2,0.1,0.1,2.29
1/15/2002,0.3,0.1,0.2,3.34
1/16/2002,1.4,0.3,1.2,4.38
1/17/2002,2.3,0.8,0.8,5.43
1/18/2002,0.6,0.8,1.2,6.48
1/19/2002,3.3,2,2,7.52
1/20/2002,0,0,0.06,7.52
1/21/2002,4.3,3.3,4.1,6.74
1/22/2002,6.7,7.2,5.7,5.69
1/23/2002,0.9,2.9,1.3,4.91
1/24/2002,15.7,15,17.3,4.91
1/25/2002,8.7,10.6,13.5,7.14
1/26/2002,0,0,0,9.1
1/27/2002,0.06,0.1,0,11.19
1/28/2002,4.9,6.3,5.2,10.93
1/29/2002,0.4,8.2,4.4,9.1
1/30/2002,0,0,0,8.84
1/31/2002,0.1,0.2,0,8.05
2/1/2002,0.8,0.8,1.5,6.49
2/2/2002,6,4.1,3.9,6.49
2/3/2002,0,0,0.06,8.58
2/4/2002,0.6,0.4,1.5,22.18
2/5/2002,7.5,6.5,7.2,29.5
2/6/2002,1.2,0.9,0.3,30.55
2/7/2002,0.4,0.8,1.3,37.87
2/8/2002,1.6,0.9,0.7,39.97
2/9/2002,4.2,8.5,5.7,40.49
2/10/2002,2.4,2.3,2,38.92
2/11/2002,0.2,1.2,0.6,44.15
2/12/2002,2,6.4,2,43.11
2/13/2002,0.1,0,0.1,42.58
2/14/2002,0,0,0,41.54
2/15/2002,0.2,0.1,0.06,36.31
2/16/2002,0,0,0,30.3
2/17/2002,0,0,0,24.02
2/18/2002,2.3,4.6,4,22.45
2/19/2002,1.9,1.5,1.4,21.67
2/20/2002,0,0,0.06,18.79
2/21/2002,0.1,0,0,18.01
2/22/2002,6.3,4,13,15.39
2/23/2002,9.9,3.1,10,12.78
2/24/2002,0.8,0.8,0.3,10.69
2/25/2002,0.5,1.7,1.1,9.38
2/26/2002,1,4.6,2.9,9.12
2/27/2002,6.8,9.2,7.9,8.86
2/28/2002,1.5,1.9,1.3,7.81
3/1/2002,0,0,0,7.55
3/2/2002,2.2,3,2.8,7.55
3/3/2002,2,2.1,1.3,5.99
3/4/2002,2,1.2,1.4,6.51
3/5/2002,3.1,2.8,5,6.51
3/6/2002,9.8,9.9,14.3,6.51
3/7/2002,0.3,0.2,0.3,6.25
3/8/2002,0.3,0.3,1.3,5.2
3/9/2002,8.8,10.5,8.5,4.94
3/10/2002,0.3,0.2,0.1,4.94
3/11/2002,1.4,2.5,2.1,4.95
3/12/2002,0.3,0.5,0,4.95
3/13/2002,0.2,0.6,0.5,4.95
3/14/2002,0,0,0,4.95
3/15/2002,0,0,0,4.95
3/16/2002,0,0,0,4.95
3/17/2002,0,0,0,4.95
3/18/2002,0.5,0.5,0.3,5.47
3/19/2002,0,0,0,6.52
3/20/2002,2.6,2.8,2.9,6.52
3/21/2002,0,0.06,0,11.75
3/22/2002,2.3,0.6,2,18.03
3/23/2002,0,0,0,19.08
3/24/2002,0,0,0,22.21
3/25/2002,0,0,0,25.88
3/26/2002,0.06,0,0,26.92
3/27/2002,0,0,0,24.83
3/28/2002,0,0,0,24.83
3/29/2002,0,0,0,34.77
3/30/2002,0,0,0,35.82
3/31/2002,0,0,0,48.37
4/1/2002,0,0,0,54.65
4/2/2002,0,0,0,55.69
4/3/2002,4.7,5.1,3.7,56.22
4/4/2002,0,0,0,51.77
4/5/2002,0,0,0,47.33
4/6/2002,0,0,0,38.18
4/7/2002,0,0,0,37.39
4/8/2002,0,0,0,32.69
4/9/2002,0,0,0,27.72
4/10/2002,0,0,0,23.8
4/11/2002,0,0,0,22.49
4/12/2002,0,0,0,22.23
4/13/2002,0,0,0,24.32
4/14/2002,0,0,0,27.46
4/15/2002,0,0,0,31.12
4/16/2002,0,0,0,32.17
4/17/2002,0,0,0,32.69
4/18/2002,0,0,0,32.69
4/19/2002,0,0,0,32.43
4/20/2002,0,0,0,30.08
4/21/2002,0,0,0,26.68
4/22/2002,0,0,0,24.85
4/23/2002,0,0,0,22.5
4/24/2002,0,0,0,21.45
4/25/2002,0,0,0,20.67
4/26/2002,0,0,0,20.67
4/27/2002,0.4,2.2,1.7,20.67
4/28/2002,0.6,0.06,0,20.67
4/29/2002,0,0,0,19.63
4/30/2002,0.1,0.4,0.1,19.36
5/1/2002,0.1,0,0,18.58
5/2/2002,0.06,0,0.06,16.75
5/3/2002,6.5,0.5,3.6,15.71
5/4/2002,13.7,3.4,10.2,14.4
5/5/2002,23,6.3,22.1,13.35
5/6/2002,0,0,0,32.18
5/7/2002,0,0,0,37.02
5/8/2002,0,0,0,44.21
5/9/2002,0,0,0,47.88
5/10/2002,0,0,0,43.43
5/11/2002,0,0,0,35.33
5/12/2002,0.1,0,0,27.74
5/13/2002,4,3.8,0.4,26.96
5/14/2002,0,0,0,21.34
5/15/2002,0.7,0.4,0.7,17.54
5/16/2002,2.6,0,0.7,15.45
5/17/2002,3.2,1.7,2.3,12.84
5/18/2002,0.7,0.4,0.8,11.79
5/19/2002,0,0,0,10.49
5/20/2002,0,0,0,10.23
5/21/2002,0,0,0,9.44
5/22/2002,0,0,0,8.14
5/23/2002,0.3,0,0,7.87
5/24/2002,0.06,0,0,6.83
5/25/2002,0,0,0,6.57
5/26/2002,0,0.06,0,6.31
5/27/2002,0,0,0,5
5/28/2002,0,0,0,5
5/29/2002,0,0,0,5
5/30/2002,0,0,0,4.74
5/31/2002,0,0,0,3.96
6/1/2002,0,0,0,3.96
6/2/2002,1.1,8.3,0.2,3.96
6/3/2002,0,0.3,0,3.18
6/4/2002,0.06,0,11.1,2.39
6/5/2002,0,0,0,2.39
6/6/2002,0,0,0,2.39
6/7/2002,0.06,0.1,0,2.39
6/8/2002,0,0,4.5,2.39
6/9/2002,5.8,0,0,2.4
6/10/2002,0,0,0,2.4
6/11/2002,0,0.5,0,2.4
6/12/2002,2,2.6,0.3,2.4
6/13/2002,9.7,26.6,17,2.4
6/14/2002,13.8,14.6,10.5,1.35
6/15/2002,0,0.2,0,3.45
6/16/2002,18.8,16.1,6,4.49
6/17/2002,5,0.7,2,5.02
6/18/2002,0,0,0,5.02
6/19/2002,0.06,0,0.06,6.06
6/20/2002,0,0.7,0.5,7.63
6/21/2002,9.9,9.5,7.2,6.85
6/22/2002,0,0,0,5.8
6/23/2002,2.3,8.2,4.7,4.76
6/24/2002,0,9.2,0,3.98
6/25/2002,4.9,0.5,3.9,3.98
6/26/2002,5.8,11.1,17.5,3.98
6/27/2002,14.5,8.6,7.2,3.98
6/28/2002,3,1.5,6.7,3.98
6/29/2002,0.2,0,0.2,5.02
6/30/2002,7.7,3,7.5,6.07
7/1/2002,0.9,0.3,3,8.16
7/2/2002,6.7,12.9,17.8,7.9
7/3/2002,1.2,0.5,1.8,7.64
7/4/2002,4.7,6,4,7.64
7/5/2002,19.9,19,10.9,8.17
7/6/2002,0.06,1.3,0.3,9.21
7/7/2002,0.4,1.2,1.5,11.31
7/8/2002,0.9,0,0,17.06
7/9/2002,0,0,0,20.72
7/10/2002,0,0,0,18.89
7/11/2002,0,0,0.06,18.11
7/12/2002,0,0,0,14.45
7/13/2002,0,0,0,8.7
7/14/2002,0,0,0,6.34
7/15/2002,9.5,0.1,1.6,5.04
7/16/2002,0,0,0,3.99
7/17/2002,0,0,0,3.99
7/18/2002,0,0,0,3.99
7/19/2002,6,0,0.9,3.99
7/20/2002,0.1,0.06,0.2,3.21
7/21/2002,4.3,4.6,2.8,2.43
7/22/2002,7,7.5,30.5,2.43
7/23/2002,10.1,1.3,6.1,6.09
7/24/2002,1.6,0.1,0.7,7.14
7/25/2002,2.1,27.4,0.2,9.23
7/26/2002,0.7,0.3,0,10.27
